"investor_reference"," consumer_creditor_class","debt_amount"
"JB00090519","M1",7116
"JM00090541","M1",15379
"JW00091036","M1",20433
"SH00135289","M1",510
"MH00117018","M1",6213
"DL00034573","M1",302
"AW00091388","M1",40809
"PR00117931","M1",2588
"PL00091971","M1",103
"SI00092147","M1",1232
"MB00092202","M1",506
"JM00092235","M1",4092
"dh00092312","M1",5112
"CH00092433","M1",4102
"FM00106172","M1",5047
"HC00092939","M1",3066
"MS00093412","M1",10352
"PC00093489","M1",12945
"JW00093676","M1",3664
"AD00093698","M1",5073
"HM00093731","M1",5109
"cd00094292","M1",4072
"tr00105468","M1",2526
"ah00134871","M1",5099
"CC00069245","M1",14356
"PP00132825","M1",3086
"CH00094919","M1",3100
"sr00094930","M1",2042
"JS00095106","M1",10352
"cc00095502","M1",1523
"GC00095689","M1",26808
"HT00095700","M1",15960
"JJ00095898","M1",102
"lc00114301","M1",3051
"MH00168729","M1",30220
"PJ00096558","M1",204
"ch00096646","M1",30769
"kc00096954","M1",10161
"MK00111617","M1",1644
"TL00097119","M1",15547
"LJ00097152","M1",1524
"HF00097229","M1",5168
"BB00097416","M1",3050
"ab00097735","M1",8123
"GK00098307","M1",1119
"CW00102883","M1",20236
"JB00098351","M1",20499
"ND00085965","M1",4140
"JM00098703","M1",910
"LG00098736","M1",2066
"RE00042812","M1",929
"PG00099638","M1",8317
"JA00099814","M1",18156
"ac00175384","M1",1036
"DA00100287","M1",40571
"DW00100309","M1",1013
"TE00100518","M1",5032
"NT00101981","M1",505
"MN00101112","M1",4268
"TF00101123","M1",20263
"VD00109714","M1",10251
"CB00105292","M1",20189
"gh00101321","M1",10129
"rb00101376","M1",1015
"sm00091542","M1",3105
"JB00102190","M1",2531
"IK00102212","M1",10359
"JA00070015","M1",5162
"DL00102542","M1",9119
"DJ00102641","M1",26346
"CB00102806","M1",5068
"RL00102993","M1",25727
"CL00103026","M1",7146
"jc00103059","M1",2019
"PA00103114","M1",10135
"bv00103719","M1",5040
"GH00103906","M1",3640
"DF00104335","M1",12133
"lh00104522","M1",5024
"MH00104555","M1",5029
"TM00022418","M1",124
"RH00104863","M1",5051
"BF00107063","M1",103
"MR00105050","M1",20731
"KM00043769","M1",1564
"MS00114257","M1",10294
"DH00105259","M1",10082
"kc00105281","M1",3589
"NS00105435","M1",6119
"LH00105897","M1",4118
"wh00105930","M1",505
"es00106128","M1",247
"MF00106194","M1",31004
"SW00132209","M1",2039
"th00106667","M1",5046
"CH00182138","M1",3068
"RK00106711","M1",505
"PC00106975","M1",4133
"RF00190289","M1",5139
"SS00107107","M1",2022
"CW00107140","M1",22356
"LM00067958","M1",10321
"TS00107426","M1",504
"ST00182963","M1",103
"BS00107547","M1",5053
"PB00107602","M1",18327
"ES00107976","M1",504
"GL00035948","M1",5619
"CR00108394","M1",10166
"LS00108658","M1",25951
"RM00108713","M1",15282
"jw00099539","M1",5081
"rg00108955","M1",6061
"RF00109274","M1",5198
"CP00109362","M1",3026
"EK00109571","M1",6220
"JL00098043","M1",21555
"JO00109780","M1",30199
"GW00109956","M1",46713
"AH00114334","M1",10388
"MK00110264","M1",11023
"CD00110583","M1",3090
"AP00049896","M1",520
"Rb00115973","M1",5166
"CP00111254","M1",3109
"NM00111397","M1",1017
"WK00111408","M1",5085
"ap00064284","M1",5148
"TT00111650","M1",10058
"KP00111727","M1",5032
"ms00086251","M1",5112
"KB00111837","M1",5075
"CT00111848","M1",5113
"JG00111881","M1",122
"FS00135311","M1",4063
"pL00112585","M1",7120
"sh00047685","M1",1029
"jt00129283","M1",10053
"aB00113421","M1",3061
"AB00032747","M1",20662
"CQ00114015","M1",1035
"HO00103928","M1",5067
"Db00114499","M1",20908
"GC00114609","M1",4606
"CC00114697","M1",5154
"MD00178145","M1",5164
"DT00115115","M1",9353
"DM00115357","M1",20744
"DW00115390","M1",5170
"AC00082412","M1",2044
"SM00115852","M1",2133
"JC00115885","M1",1033
"DM00116556","M1",8042
"JH00116710","M1",20346
"SW00116787","M1",1020
"CA00116875","M1",20776
"GT00116919","M1",2064
"dp00117370","M1",4752
"DK00117425","M1",10336
"MJ00117854","M1",10316
"JB00118294","M1",10375
"JL00118459","M1",1651
"HD00118712","M1",1040
"GW00082687","M1",511
"CW00118844","M1",1660
"GC00165319","M1",2015
"SF00119306","M1",5086
"mt00119471","M1",5186
"YH00119999","M1",10316
"jc00120032","M1",2183
"rk00120054","M1",5661
"DH00120461","M1",1651
"JH00120494","M1",1651
"SF00120648","M1",1581
"SS00120714","M1",10205
"SM00120824","M1",5181
"bk00120934","M1",10350
"dk00100133","M1",1014
"NL00121440","M1",10170
"PH00121506","M1",2571
"TM00121715","M1",5923
"MB00121814","M1",3073
"AL00122067","M1",2683
"RS00112992","M1",1610
"DW00122826","M1",2062
"ss00122859","M1",3073
"DM00135861","M1",5173
"RM00123530","M1",15559
"SW00123574","M1",20548
"as00100067","M1",10126
"MH00021043","M1",66701
"HM00123662","M1",103
"AC00057222","M1",6188
"db00123695","M1",3100
"NK00123882","M1",2057
"KC00123937","M1",10278
"DC00123959","M1",18013
"RL00035926","M1",5619
"JG00123992","M1",950
"EB00124234","M1",25808
"AM00124388","M1",1551
"EL00125048","M1",10158
"MC00125202","M1",15411
"CH00125235","M1",15471
"KB00125389","M1",2262
"BC00125466","M1",10314
"CS00125477","M1",3081
"BC00125664","M1",1014
"LM00054725","M1",5141
"GB00063712","M1",10309
"MS00126445","M1",12864
"KA00126698","M1",1025
"CL00126973","M1",26005
"WS00136334","M1",12226
"SF00127204","M1",2048
"PH00127369","M1",2048
"GN00127446","M1",10287
"CW00127490","M1",2048
"DL00127864","M1",2046
"GH00127875","M1",27902
"SH00127930","M1",6142
"AS00128150","M1",10147
"RF00128194","M1",6139
"RW00128238","M1",7188
"GT00128337","M1",10166
"MC00128491","M1",10275
"AS00128568","M1",36306
"SK00038676","M1",206
"WG00128678","M1",20533
"KC00128700","M1",2045
"LB00128755","M1",616
"ps00128788","M1",2051
"NG00126599","M1",101
"AZ00088968","M1",50951
"DH00129492","M1",823
"RC00129547","M1",11183
"IE00129613","M1",2044
"JY00124080","M1",103
"MB00062535","M1",2555
"JL00130075","M1",5114
"PP00140074","M1",5175
"ps00130427","M1",5106
"DM00130438","M1",20800
"GC00130713","M1",13009
"JA00130746","M1",11977
"WM00131010","M1",1536
"CW00131076","M1",20792
"ce00131208","M1",5102
"JN00189167","M1",3525
"AR00131406","M1",206
"Yp00131780","M1",1020
"mf00131846","M1",50967
"DS00131978","M1",2046
"EP00142824","M1",3018
"JW00132187","M1",20455
"MF00073876","M1",10289
"VB00212355","M1",36526
"Ps00170610","M1",5032
"RC00096316","M1",3072
"ED00172524","M1",12397
"ec00133078","M1",10287
"NR00133364","M1",25459
"sr00090684","M1",3072
"SS00133738","M1",40145
"WP00104511","M1",5060
"ML00134024","M1",10305
"pm00134079","M1",56620
"IJ00134167","M1",10201
"SM00134343","M1",5087
"BB00134387","M1",5089
"BM00113509","M1",5029
"aw00092796","M1",20451
"CA00134574","M1",4081
"SA00218449","M1",30648
"DL00134651","M1",2034
"JM00134882","M1",15087
"sn00134970","M1",2012
"DB00075889","M1",10263
"SW00135223","M1",7136
"rb00069069","M1",258
"AS00135421","M1",508
"pd00160028","M1",5172
"tj00036982","M1",5098
"MA00050732","M1",6064
"AH00135674","M1",51023
"DF00136004","M1",61164
"pt00127017","M1",41111
"dr00136169","M1",15282
"PG00136213","M1",121
"kw00136697","M1",4577
"PW00062876","M1",20567
"LA00177683","M1",10333
"PC00126929","M1",10249
"ID00137709","M1",10230
"RT00137918","M1",10206
"DJ00062315","M1",3097
"PB00032681","M1",4364
"LC00102652","M1",104
"RS00123321","M1",2573
"sb00138611","M1",10280
"JS00176638","M1",517
"SE00138897","M1",10381
"bs00139172","M1",8096
"HS00139315","M1",589
"OA00098450","M1",152
"DG00139579","M1",124200
"JA00018942","M1",3059
"WT00042317","M1",3041
"DB00162173","M1",4132
"AS00140734","M1",5078
"EE00140877","M1",2024
"MM00169378","M1",5169
"PK00064009","M1",2644
"RM00076340","M1",3019
"SS00101145","M1",104
"AM00136081","M1",5081
"GJ00055418","M1",15344
"UA00142527","M1",20274
"PG00126049","M1",1121
"KF00203280","M1",6145
"GS00099275","M1",5098
"PK00063547","M1",2071
"RS00077462","M1",5114
"SS00063173","M1",10392
"PL00143033","M1",3038
"CO00110077","M1",5027
"BS00051436","M1",111151
"DB00083127","M1",10329
"MB00123310","M1",2582
"NB00144727","M1",2067
"MH00102872","M1",505
"MI00119988","M1",2067
"RF00191246","M1",3077
"DH00145838","M1",312
"SC00121099","M1",10227
"VF00146003","M1",3070
"AP00130471","M1",15596
"KM00146366","M1",1013
"CB00122441","M1",5149
"nS00172843","M1",5175
"AA00118767","M1",3111
"PP00107745","M1",6052
"CW00146993","M1",506
"IF00147730","M1",3090
"CS00136037","M1",5094
"CG00148346","M1",5186
"JJ00135960","M1",3101
"SW00113355","M1",10048
"AS00148654","M1",5024
"rc00148687","M1",3033
"FT00039688","M1",6659
"AW00149182","M1",5025
"MH00149226","M1",5150
"BK00078991","M1",20513
"MT00101277","M1",1015
"TP00149380","M1",4057
"AW00087483","M1",2983
"PJ00178167","M1",103
"VJ00149908","M1",2029
"AG00150040","M1",518
"BM00135564","M1",3059
"KH00150117","M1",5150
"KM00107206","M1",10068
"DS00080564","M1",5192
"sj00066187","M1",20700
"SQ00129525","M1",11313
"MK00143242","M1",254
"DH00115368","M1",1534
"MC00107998","M1",2218
"DB00067254","M1",104
"SH00151899","M1",2023
"DJ00110605","M1",519
"MC00100276","M1",1014
"AA00152570","M1",10255
"PC00135498","M1",10168
"NS00180026","M1",15445
"CS00152801","M1",10124
"AF00170258","M1",10060
"GM00153131","M1",25846
"GP00153450","M1",5194
"PR00177650","M1",1033
"JS00153912","M1",15576
"RH00154517","M1",10350
"GS00154748","M1",3033
"AP00053229","M1",15104
"TO00132407","M1",5084
"ES00155672","M1",8270
"HC00155793","M1",2060
"BA00155815","M1",5192
"hb00059983","M1",9241
"GS00134607","M1",30180
"DR00100166","M1",225419
"NS00026763","M1",10218
"JS00093654","M1",5093
"BK00157212","M1",31162
"CW00157223","M1",10386
"EP00171380","M1",2070
"DM00120538","M1",829
"JB00158378","M1",25155
"FD00158587","M1",25750
"LA00158609","M1",1010
"dt00179949","M1",154134
"PS00159005","M1",5175
"WC00159236","M1",25750
"PS00159247","M1",15382
"CB00093291","M1",2037
"HM00159786","M1",5170
"bd00195965","M1",3068
"JW00021164","M1",4230
"mc00024475","M1",5289
"DH00161216","M1",7245
"MS00116424","M1",5092
"AC00161997","M1",5054
"AG00162140","M1",5054
"MB00111859","M1",11352
"sm00162316","M1",6065
"LJ00108438","M1",20388
"CP00163240","M1",25860
"SI00171930","M1",10331
"GN00164252","M1",50457
"JS00091674","M1",510
"CW00122298","M1",10298
"DP00165198","M1",10386
"JB00172007","M1",5192
"JM00106447","M1",3025
"CM00165748","M1",5051
"RM00036256","M1",53308
"KR00166078","M1",156
"TW00046376","M1",4588
"DM00166155","M1",5195
"DA00108757","M1",5048
"PW00166386","M1",5165
"HA00166595","M1",3101
"AW00116171","M1",3119
"AC00132935","M1",15321
"MT00167167","M1",5166
"Pd00013761","M1",20402
"IM00167970","M1",6057
"SP00078353","M1",10300
"MP00168025","M1",5040
"PB00037070","M1",10179
"CL00168102","M1",279
"aL00168157","M1",505
"AA00168707","M1",15107
"JD00101585","M1",10350
"SA00168751","M1",10350
"NN00169202","M1",5297
"PH00169323","M1",155
"ms00169367","M1",2077
"CE00169455","M1",15085
"cm00173998","M1",6180
"PH00192093","M1",15408
"SS00169950","M1",503
"DT00067287","M1",5148
"aS00055407","M1",484
"AS00170566","M1",30689
"JD00170588","M1",10062
"SC00170962","M1",50265
"JP00030492","M1",10319
"BR00171094","M1",15588
"RG00171105","M1",15401
"AE00171116","M1",3118
"AF00171215","M1",5200
"SB00171314","M1",4145
"GS00171358","M1",3072
"JO00171457","M1",520
"CM00171556","M1",1032
"MY00171600","M1",20803
"RH00171743","M1",103462
"JR00064911","M1",3068
"PW00076582","M1",27878
"PD00172051","M1",16147
"MP00030789","M1",5630
"HP00172260","M1",20776
"TR00172315","M1",5195
"JP00172425","M1",10386
"LS00126159","M1",114779
"GW00141394","M1",20685
"JR00067804","M1",15505
"LC00172821","M1",15579
"NV00135366","M1",10268
"SC00173140","M1",3090
"ST00173151","M1",10350
"MS00182270","M1",102929
"SC00049038","M1",25970
"ej00175043","M1",10361
"CE00175560","M1",628
"JM00176737","M1",10339
"RR00101310","M1",10129
"AR00176143","M1",5157
"AR00176286","M1",5148
"jj00066209","M1",20700
"LM00177089","M1",514
"TM00118393","M1",2580
"SJ00201300","M1",256
"sp00177386","M1",1034
"GR00177507","M1",6181
"LW00159346","M1",4093
"MW00178068","M1",5162
"KH00125708","M1",10256
"SC00178200","M1",1028
"HO00178398","M1",4625
"PD00059180","M1",4138
"kv00178728","M1",2054
"NW00178904","M1",6188
"GD00179025","M1",2054
"lc00217448","M1",3063
"LC00112673","M1",6037
"LL00071863","M1",10263
"JS00093797","M1",5256
"CH00135069","M1",20344
"bg00071940","M1",103
"TC00181313","M1",1030
"SB00130361","M1",5124
"DC00101024","M1",25641
"MA00057563","M1",785
"EH00145519","M1",5175
"JB00182534","M1",10283
"PT00022869","M1",5572
"FF00134552","M1",8221
"JH00142890","M1",2050
"PC00183711","M1",1620
"PW00061435","M1",10333
"LD00161392","M1",2022
"RC00184481","M1",3070
"EC00184811","M1",10293
"KS00185405","M1",5123
"LS00105677","M1",10103
"PC00186703","M1",5114
"MD00123684","M1",5165
"JF00215424","M1",1021
"kw00187187","M1",3086
"SC00179388","M1",5152
"RE00187682","M1",10233
"RG00080707","M1",10492
"JC00126951","M1",5126
"DH00104225","M1",5627
"PH00069916","M1",15483
"RW00127127","M1",5095
"DC00185658","M1",20499
"PH00135058","M1",10168
"WG00190674","M1",5140
"JP00177727","M1",10254
"Rw00096129","M1",520
"WH00089067","M1",10237
"WF00191081","M1",20488
"RB00141625","M1",5068
"MD00049665","M1",51303
"tm00194656","M1",3069
"gl00108900","M1",404
"LK00214489","M1",3064
"AG00023507","M1",5555
"JD00046112","M1",8159
"PP00173734","M1",1031
"RC00071423","M1",5133
"AM00176572","M1",103
"NI00126808","M1",10251
"HP00105006","M1",10124
"PG00033990","M1",5107
"CS00026961","M1",5175
"IC00124036","M1",25713
"AD00172700","M1",3115
"JW00136895","M1",7636
"PJ00198330","M1",20463
"SV00199045","M1",6153
"MH00123618","M1",6169
"al00199375","M1",51224
"KC00171446","M1",104
"PW00200497","M1",20474
"EP00211200","M1",3065
"KW00103686","M1",5052
"PB00092664","M1",50951
"RB00135091","M1",10201
"MW00204413","M1",3064
"RS00104764","M1",122
"KB00092774","M1",9176
"SA00111144","M1",2050
"MS00172480","M1",1136
"Pl00129899","M1",2050
"JM00047080","M1",2017
"EP00119977","M1",20626
"RW00025597","M1",2125
"SP00055000","M1",10300
"JS00135531","M1",5593
"PP00131054","M1",5102
"JD00209693","M1",511
"AB00099396","M1",10158
"MH00079904","M1",3163
"JD00211101","M1",5115
"hs00133837","M1",10361
"JW00211541","M1",4091
"LS00057596","M1",23801
"HR00069003","M1",15411
"PP00173360","M1",25803
"AL00041723","M1",155
"AS00063701","M1",36008
"JK00214951","M1",5109
"RD00070048","M1",5162
"cw00153945","M1",10401
"IR00121088","M1",766
"MC00078727","M1",634
"DS00215710","M1",10216
"SB00130163","M1",1020
"BM00071962","M1",3117
"DK00056430","M1",41337
"SR00082236","M1",6128
"AF00219494","M1",1021
"MB00219802","M1",8171
"AS00083512","M1",3063
"SM00221441","M1",30631
"rd00130757","M1",30781
"RB00015972","M1",29588
"MS00125334","M1",2050
"ET00128843","M1",17923
"cS00113256","M1",520
"jh00143143","M1",10156
"AD00103411","M1",36076
"BM00172832","M1",1545
"MD00177562","M1",5139
"PG00176682","M1",20689
"SH00096591","M1",10310
"cC00047432","M1",4036
"SH00216557","M1",5109
"RH00126467","M1",20898
"RW00135509","M1",2034
"DJ00055022","M1",1007
"AF00026235","M1",224
"HN00112112","M1",20540
"AJ00135905","M1",102
"WT00172370","M1",62005
"CW00190575","M1",30810
"HK00070367","M1",10161
"DS00027753","M1",10350
"BN00092719","M1",8173
"AP00112145","M1",20109
"pn00128414","M1",10266
"Pw00074250","M1",10241
"MD00044000","M1",3115
"IT00125763","M1",2011
"TH00104577","M1",4771
"PS00085085","M1",3577
"JC00200871","M1",10245
"sb00165000","M1",5040
"GB00070576","M1",2025
"GT00210848","M1",3063
"SH00066220","M1",179019
"FR00085371","M1",1116
"hb00172546","M1",5175
"PH00098373","M1",508
"CT00094457","M1",10263
"RL00136257","M1",103
"MS00072226","M1",10276
"TM00129173","M1",12305
"vg00102179","M1",10234
"NS00130977","M1",2034
"JW00073304","M1",20600
"RW00135190","M1",5099
"JH00139249","M1",8878
"RA00171039","M1",3098
"CB00175054","M1",776
"BM00150271","M1",20285
"jp00171083","M1",10053
"SI00024904","M1",15405
"MC00195261","M1",6161
"TB00093159","M1",4830
"AC00080872","M1",7254
"MB00030558","M1",3059
"rb00074921","M1",10243
"SM00211717","M1",6129
"RD00173932","M1",3090
"HR00212069","M1",5111
"PR00134629","M1",20402
"PB00041822","M1",507
"sH00091113","M1",16398
"JC00012936","M1",15450
"RM00074448","M1",31008
"DR00122628","M1",6131
"EM00087021","M1",19437
"SY00116534","M1",5166
"DM00092257","M1",5115
"AP00137203","M1",10300
"AD00015961","M1",1316
"NM00130922","M1",5115
"gc00052338","M1",10384
"BR00114884","M1",10341
"JR00059059","M1",7546
"CG00113773","M1",2172
"AM00125400","M1",10256
"MD00095051","M1",2070
"RW00101134","M1",513
"JG00052074","M1",15382
"ds00027368","M1",5175
"DA00081070","M1",517
"ma00199892","M1",7178
"CS00140250","M1",5175
"JR00124311","M1",20658
"AB00217261","M1",15324
"NF00033550","M1",1326
"ps00107195","M1",10110
"AH00139854","M1",25875
"JE00020889","M1",10093
"KH00060269","M1",10266
"EF00105589","M1",3037
"KE00065527","M1",1069
"JM00074657","M1",3073
"GC00216293","M1",3065
"CS00105237","M1",5039
"GK00097075","M1",25404
"FM00093049","M1",299
"SJ00036355","M1",5053
"FH00192731","M1",87122
"RO00078034","M1",4103
"AL00133430","M1",5084
"JE00062601","M1",103842
"CE00135410","M1",6118
"GW00107723","M1",10091
"DO00106513","M1",10088
"DG00081499","M1",7689
"aw00058289","M1",7761
"RL00039512","M1",3065
"RS00077957","M1",814
"JP00042592","M1",1005
"JH00077429","M1",25575
"CM00132242","M1",511
"sf00178464","M1",5153
"CD00170896","M1",25145
"SW00023342","M1",520
"SK00032164","M1",2043
"mc00090354","M1",2377
"MM00041305","M1",1014
"AA00050072","M1",1010
"SH00105743","M1",5076
"cO00108119","M1",10081
"DF00059653","M1",6131
"Ac00067023","M1",10334
"AC00068134","M1",4115
"SW00085118","M1",2035
"JS00036498","M1",5542
"ml00058993","M1",2564
"WW00063536","M1",10310
"JL00178882","M1",10308
"PB00170555","M1",2010
"RA00106029","M1",515
"SA00107877","M1",15178
"MH00109538","M1",2015
"CF00110055","M1",1040
"EK00074261","M1",5121
"DS00094864","M1",15165
"JB00102322","M1",10145
"CL00045595","M1",30814
"SM00110088","M1",20120
"NC00222948","M1",15313
"DB00121220","M1",17502
"an00171391","M1",130658
"CH00136928","M1",1018
"ME00111738","M1",5034
"BE00177848","M1",10277
"DW00191136","M1",92014
"GB00098472","M1",5081
"MD00123981","M1",47172
"JP00047179","M1",32279
"RG00012738","M1",10077
"MS00075537","M1",41484
"LH00103433","M1",5185
"DF00072083","M1",10133
"NS00052789","M1",25885
"PG00179707","M1",205
"MN00110341","M1",5039
"CD00170060","M1",3023
"ML00185493","M1",3073
"MH00165924","M1",10088
"MD00142131","M1",507
"IM00149886","M1",3038
"SH00072567","M1",10302
"BK00122892","M1",20587
"RO00200288","M1",25579
"CM00135630","M1",1015
"DW00105886","M1",10090
"AW00076879","M1",10204
"GD00189244","M1",5140
"jG00024959","M1",1024
"ar00130130","M1",1022
"RB00161348","M1",6067
"AT00079640","M1",205
"MF00024222","M1",6659
"SB00126863","M1",515
"VV00099176","M1",20277
"KF00132638","M1",6116
"KG00207515","M1",15316
"JB00210584","M1",2557
"ST00049236","M1",638
"LM00186978","M1",1024
"SR00152350","M1",15457
"ES00125752","M1",10060
"AS00099462","M1",20228
"JK00083072","M1",10236
"VB00110154","M1",5134
"JN00167387","M1",3030
"VR00090926","M1",1065
"JK00124355","M1",514
"NL00011374","M2",20507
"AM00011451","M2",1895
"RW00011638","M2",102
"ML00011649","M2",250
"GR00011748","M2",207
"IG00012034","M2",102
"JP00012089","M2",3604
"MS00012155","M2",1593
"MP00012199","M2",2576
"AD00012254","M2",3100
"JG00012276","M2",104
"SA00012463","M2",479
"MW00012749","M2",5963
"JL00012782","M2",17283
"PR00012804","M2",146819
"EH00013211","M2",6869
"RP00013772","M2",6688
"PB00013893","M2",2522
"mB00014069","M2",3057
"AC00014124","M2",1410
"JF00014179","M2",6279
"CP00014234","M2",54222
"AB00014322","M2",3658
"AS00014531","M2",2970
"GM00014542","M2",13699
"PD00014564","M2",162
"DW00014729","M2",6242
"SE00014872","M2",301
"AA00014883","M2",13830
"jm00015400","M2",10941
"BJ00015532","M2",25093
"DT00015741","M2",22341
"TD00015807","M2",939
"BC00015884","M2",10456
"DF00015994","M2",11463
"PA00016049","M2",1440
"km00016247","M2",5685
"MP00016258","M2",34780
"TV00016313","M2",2195
"GH00016390","M2",1137
"MH00016500","M2",1160
"AF00016852","M2",4616
"BS00016874","M2",3223
"DM00016940","M2",81431
"nl00016984","M2",1392
"MW00017039","M2",4663
"MM00017226","M2",1846
"PC00017281","M2",1038
"DE00017292","M2",5793
"RW00017369","M2",270
"JB00017402","M2",15336
"AG00017611","M2",33058
"MB00017655","M2",8515
"JP00017743","M2",8314
"AC00017765","M2",5096
"ss00018040","M2",2035
"GE00018051","M2",30898
"TR00018073","M2",894
"NT00018084","M2",890
"NM00018106","M2",1984
"PE00018128","M2",1024
"JB00018139","M2",1377
"I 00018194","M2",1299
"NR00018249","M2",5948
"JD00018282","M2",2246
"TR00018667","M2",4077
"kb00018711","M2",1146
"kn00018766","M2",19289
"MH00018865","M2",15087
"ML00018887","M2",6533
"JS00019085","M2",70261
"RW00019184","M2",20187
"IH00019261","M2",261
"DL00019272","M2",10050
"BB00019393","M2",5840
"JB00019514","M2",10622
"AR00019866","M2",5366
"HB00019976","M2",9138
"PJ00020163","M2",3569
"RB00020218","M2",252
"JS00020625","M2",189
"PW00020735","M2",5679
"JH00020757","M2",2276
"AB00020878","M2",7660
"PS00020911","M2",7114
"EW00020922","M2",2451
"PC00021340","M2",574
"HT00021593","M2",10224
"FH00021868","M2",13337
"LH00021901","M2",15141
"MM00021923","M2",363
"LA00022088","M2",2028
"rw00022121","M2",70345
"PP00022165","M2",599
"KH00022242","M2",16133
"SF00022396","M2",3128
"RP00022451","M2",341
"JL00022473","M2",25424
"Pd00022561","M2",101
"DE00022627","M2",302
"VM00022737","M2",138927
"JP00022803","M2",603
"PH00022880","M2",6379
"ED00022979","M2",2852
"GM00023001","M2",332
"JH00023221","M2",12161
"DR00023397","M2",25206
"CM00023430","M2",2240
"PR00023738","M2",9497
"SP00023958","M2",1045
"sb00023969","M2",2135
"PP00024167","M2",1203
"JS00024376","M2",8575
"MN00024464","M2",11370
"TM00024563","M2",2254
"GW00024651","M2",2685
"JL00024739","M2",5141
"RC00025157","M2",390
"LP00025344","M2",767
"ts00025355","M2",1663
"MJ00025366","M2",13139
"cg00025531","M2",6115
"DL00025795","M2",25153
"CM00025828","M2",2210
"dc00025839","M2",5596
"JD00025916","M2",2759
"GS00026015","M2",2260
"DM00026213","M2",5192
"SS00026224","M2",5678
"CS00026433","M2",5110
"MM00026752","M2",11583
"dn00026774","M2",20129
"MD00026862","M2",2400
"DS00026917","M2",23380
"SS00027016","M2",1178
"jS00027192","M2",5791
"DN00027500","M2",20374
"AM00027698","M2",5766
"KR00027896","M2",57923
"AH00028116","M2",2797
"PV00028248","M2",7061
"AB00028501","M2",204
"CW00028589","M2",4076
"AC00028743","M2",224
"AB00028754","M2",10325
"FB00028930","M2",13114
"SD00028974","M2",433
"WF00029007","M2",3093
"BP00029040","M2",3951
"EO00029062","M2",109956
"CM00029238","M2",397
"ES00029282","M2",22248
"CB00029359","M2",5675
"AH00029601","M2",35058
"dm00029733","M2",5233
"ST00029744","M2",6755
"SR00029821","M2",11174
"ps00029887","M2",465
"PT00030041","M2",27723
"JR00030074","M2",185
"WW00030173","M2",1528
"JW00030195","M2",5688
"jr00030228","M2",5651
"EL00030580","M2",20384
"DT00030668","M2",1099
"jh00030712","M2",1240
"PF00030965","M2",567
"AM00031064","M2",1542
"ML00031240","M2",3312
"AK00031284","M2",2009
"VM00031493","M2",7868
"TH00031504","M2",10997
"DG00031735","M2",5688
"RS00031768","M2",11385
"AF00031779","M2",185
"WM00031790","M2",1542
"GP00031823","M2",5700
"EB00031834","M2",5109
"GS00032274","M2",11262
"jr00032351","M2",1135
"JE00032373","M2",5813
"JD00032516","M2",1295
"TC00032582","M2",5171
"DF00032659","M2",10294
"JF00032802","M2",976
"DJ00032846","M2",5628
"CL00032967","M2",1286
"BM00033088","M2",5689
"jw00033231","M2",903
"VR00033363","M2",5945
"SC00033374","M2",5813
"JF00033495","M2",10032
"MG00033891","M2",22640
"SB00033924","M2",1387
"GM00034001","M2",11370
"LB00034034","M2",30493
"PM00034232","M2",1674
"DV00034243","M2",5694
"MM00034265","M2",5000
"RS00034342","M2",5631
"FB00034540","M2",272
"AN00034617","M2",3936
"CL00034672","M2",851
"DS00034848","M2",1129
"VS00034859","M2",5022
"MD00034914","M2",154
"HS00035167","M2",149
"JP00035387","M2",3837
"DW00035398","M2",570
"BW00035475","M2",17811
"GP00035684","M2",11596
"DH00035783","M2",5835
"JR00035827","M2",3552
"AK00035838","M2",5641
"ec00035871","M2",3011
"wc00035915","M2",3011
"RD00036069","M2",3935
"DD00036113","M2",22515
"CD00036190","M2",2349
"DH00036487","M2",59977
"DS00036663","M2",7030
"EP00036718","M2",65669
"GL00036729","M2",256
"PC00036740","M2",19658
"BS00037004","M2",9972
"LW00037400","M2",3414
"PL00037697","M2",4587
"JL00037741","M2",10624
"AH00037818","M2",4727
"JN00037983","M2",1523
"MB00038060","M2",12496
"RH00038071","M2",334
"CW00038126","M2",5113
"SB00038203","M2",17074
"GN00038302","M2",2674
"ND00038346","M2",11050
"AD00038555","M2",12338
"PS00038643","M2",1810
"AS00038720","M2",7541
"AG00038775","M2",4097
"RP00038885","M2",6230
"AC00038907","M2",132655
"mm00039039","M2",20098
"Ae00039116","M2",7778
"JS00039226","M2",1257
"DW00039578","M2",11180
"CC00039600","M2",22617
"AH00039611","M2",2070
"LB00039622","M2",552
"TL00039699","M2",13488
"sS00039765","M2",6207
"MP00039864","M2",10150
"MM00039886","M2",13252
"CH00039996","M2",26453
"JC00040172","M2",3513
"MA00040370","M2",6422
"dh00040403","M2",10237
"dg00040502","M2",28060
"JL00040920","M2",402
"aC00040931","M2",54246
"GK00041030","M2",101
"SR00041250","M2",5198
"DS00041371","M2",47826
"TB00041470","M2",304
"rm00041679","M2",6532
"MB00041734","M2",1189
"MM00041910","M2",11471
"SL00042097","M2",20190
"jl00042262","M2",16883
"JH00042383","M2",5107
"JH00042526","M2",28208
"GM00042669","M2",1875
"IW00042801","M2",1276
"AH00042966","M2",15197
"PF00042999","M2",26450
"TP00043164","M2",30119
"DC00043175","M2",31667
"EB00043186","M2",1273
"CB00043285","M2",1155
"CL00043450","M2",463
"RG00044033","M2",1179
"rr00044198","M2",8909
"TS00044341","M2",116
